position	n_covered	pct_A	pct_C	pct_G	pct_T	pct_ambiguous	pct_gap	pct_identity	entropy_bits	entropy_std
1	1965	42.3919	12.4682	10.9924	21.3232	3.9695	8.8550	48.6281	1.7807	0.9041
2	2141	49.6030	10.2289	4.6240	13.5451	2.4288	19.5703	63.5928	1.4799	0.7514
3	2523	56.6786	10.4241	3.2897	8.9576	1.7043	18.9457	71.4286	1.2771	0.6484
4	2936	1.6349	14.7480	2.7248	68.9714	1.1921	10.7289	78.3063	0.9699	0.4924
5	3170	1.4196	4.4795	7.9180	66.3722	1.1987	18.6120	82.7695	0.8912	0.4525
6	3322	1.2643	7.7363	77.9952	3.8832	0.9031	8.2179	85.8231	0.7720	0.3920
7	3839	64.2355	5.3399	12.3209	14.0141	0.4949	3.5947	66.9745	1.4051	0.7134
8	6955	75.5284	0.6039	0.5607	2.3580	0.1725	20.7764	95.5438	0.3183	0.1616
9	7499	0.0267	0.3600	96.9996	0.7734	0.1067	1.7336	98.8181	0.1049	0.0533
10	7708	91.6969	0.4670	2.1277	0.5838	0.0778	5.0467	96.6498	0.2533	0.1286
11	7912	0.3033	0.2149	94.1102	0.5056	0.0632	4.8028	98.9239	0.1019	0.0517
12	8077	0.3467	0.4086	0.3343	97.9819	0.0371	0.8914	98.9003	0.1047	0.0532
13	8170	0.2570	0.4651	0.2203	97.5398	0.1102	1.4076	99.0430	0.0923	0.0469
14	8327	0.3002	1.0928	0.2282	95.8448	0.1561	2.3778	98.3366	0.1426	0.0724
15	8472	0.1416	0.1416	97.0963	0.6138	0.2125	1.7941	99.0846	0.0863	0.0438
16	8638	97.4647	0.2084	0.1852	0.3936	0.0579	1.6902	99.1988	0.0793	0.0403
17	8872	0.6312	0.6087	0.1916	96.5735	0.1240	1.8711	98.5394	0.1309	0.0665
18	9437	0.1378	96.9482	0.1378	0.8795	1.0491	0.8477	98.8226	0.1045	0.0530
19	9544	18.5352	71.9929	0.3667	0.7963	1.2469	7.0620	78.5167	0.8316	0.4222
20	10011	0.1798	0.4295	0.1299	97.6126	0.1498	1.4984	99.2484	0.0743	0.0377
21	10359	0.2993	0.5309	98.5037	0.3475	0.1158	0.2027	98.8185	0.1108	0.0563
22	11020	2.7314	0.2995	93.8657	0.4537	0.1089	2.5408	96.4206	0.2571	0.1305
23	11355	0.3787	95.7904	0.1057	3.0031	0.0528	0.6693	96.4872	0.2436	0.1237
24	11681	0.1627	0.0685	0.4109	98.4419	0.0342	0.8818	99.3520	0.0646	0.0328
25	11874	0.0926	98.4083	0.1432	0.2779	0.0590	1.0190	99.4807	0.0544	0.0276
26	12196	94.8754	2.7386	1.3119	0.2706	0.0902	0.7133	95.6439	0.3102	0.1575
27	14174	0.0776	0.0917	99.1181	0.1552	0.0706	0.4868	99.6736	0.0366	0.0186
28	15923	95.4594	0.2889	3.2846	0.1193	0.0440	0.8039	96.2757	0.2518	0.1278
29	16006	15.6316	32.6940	6.3351	44.7207	0.1874	0.4311	44.9991	1.7190	0.8728
